STN_CODE,SAMPLING_DATE,STATE,CITYTOWNVILLAGEAREA,LOCATION_OF_MONITORING_STATION,SO2,NO2,RSPM/PM10
542,01/02/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,13,56
542,01/04/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,7,13,40
542,01/07/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,7,14,34
542,01/09/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,13,52
542,16/01/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,14,59
542,18/01/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,8,15,54
542,21/01/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,13,64
542,24/01/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,14,64
542,28/01/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,7,15,57
542,30/01/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,14,59
542,02/04/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,14,38
542,02/06/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,13,35
542,02/11/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,5,13,63
542,13/02/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,15,67
542,18/02/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,7,13,53
542,20/02/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,13,59
542,25/02/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,14,68
542,27/02/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,6,14,71
542,03/04/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,7,14,49
542,03/06/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,8,15,71
542,03/11/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,7,14,72
542,13/03/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,7,15,65
542,19/03/2014,Assam,Bongaigaon,Campus of Oil India Ltd. PS6 Bongaigaon Chirang,7,14,74
