STN_CODE,SAMPLING_DATE,STATE,CITYTOWNVILLAGEAREA,LOCATION_OF_MONITORING_STATION,SO2,NO2,RSPM/PM10,SPM
101,21/03/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",12,18,115,38
101,22/03/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",11,19,123,47
101,25/03/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",12,19,110,65
101,28/03/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",12,21,115,58
101,4/1/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",16,22,106,43
101,4/2/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",15,22,113,62
101,4/8/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",15,23,119,37
101,4/9/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",14,24,122,54
101,15/04/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",15,25,115,48
101,16/04/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",17,26,141,62
101,22/04/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",18,27,127,32
101,23/04/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",17,27,135,51
101,5/6/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",15,19,121,34
101,5/7/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",16,21,109,53
101,13/05/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",14,21,123,29
101,14/05/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",15,22,128,61
101,20/05/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",14,20,108,25
101,21/05/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",16,23,136,39
101,27/05/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",15,20,111,42
101,28/05/2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",14,20,144,31
102,21/03/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,20,94,32
102,22/03/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,20,104,29
102,25/03/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,22,103,43
102,28/03/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,23,82,38
102,4/1/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",11,16,99,29
102,4/2/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,16,105,34
102,4/11/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,18,98,38
102,4/12/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,17,86,28
102,18/04/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,16,86,27
102,19/04/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,16,112,22
102,25/04/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,20,113,23
102,26/04/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,24,110,25
102,5/6/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,23,129,46
102,5/7/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,19,114,51
102,13/05/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,21,125,37
102,14/05/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",15,18,116,29
102,20/05/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,22,119,33
102,21/05/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,20,119,63
102,27/05/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",15,21,128,42
102,28/05/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,21,119,57
102,6/5/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,20,82,26
102,6/8/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,21,81,22
102,13/06/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,22,95,24
102,21/06/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,22,86,22
102,24/06/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,22,86,20
102,25/06/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,21,80,18
102,26/06/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,19,79,18
102,28/06/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,19,92,20
102,7/1/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,19,101,28
102,7/8/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,18,95,24
102,7/11/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,18,100,34
102,13/07/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,19,108,36
102,15/07/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,18,98,26
102,18/07/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,20,95,28
102,22/07/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,17,105,32
102,27/07/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,18,93,22
102,29/07/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,17,78,18
102,8/3/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,16,70,20
102,8/5/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,20,101,24
102,8/8/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,17,99,22
102,8/12/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,18,94,31
102,15/08/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,19,95,20
102,19/08/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,18,102,18
102,22/08/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,16,93,18
102,26/08/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,18,98,16
102,29/08/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,17,96,20
102,9/2/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,18,94,26
102,9/5/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,16,90,20
102,9/10/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,16,99,22
102,9/12/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,16,94,24
102,16/09/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,19,100,26
102,19/09/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,16,91,22
102,26/09/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,17,101,24
102,29/09/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,16,97,18
102,30/09/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",17,17,87,37
102,10/3/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",15,17,89,29
102,10/7/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,18,90,44
102,10/10/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",15,18,93,29
102,14/10/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,17,89,27
102,17/10/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",15,17,92,31
102,21/10/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,17,90,25
102,24/10/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",15,17,80,28
102,28/10/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,16,87,21
102,31/10/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",12,18,79,23
102,11/2/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",18,19,92,28
102,11/3/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",23,25,128,31
102,11/4/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",17,21,64,24
102,14/11/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",16,18,84,36
102,18/11/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",18,19,90,24
102,21/11/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",16,19,84,29
102,25/11/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",15,19,78,12
102,28/11/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",13,14,86,29
102,12/2/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",14,20,93,36
102,12/5/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",15,19,93,45
102,12/9/2013,Gujarat,Ahmedabad,"Cadilla Bridge Narol, Ahmadabad",16,21,100,31
