STN_CODE,SAMPLING_DATE,STATE,CITYTOWNVILLAGEAREA,LOCATION_OF_MONITORING_STATION,NO2,RSPM/PM10
29,5/1/2015,Kerala,Kochi,"Eloor, Kochi",10,20
29,7/1/2015,Kerala,Kochi,"Eloor, Kochi",14,27
29,11/1/2015,Kerala,Kochi,"Eloor, Kochi",12,29
29,14/01/2015,Kerala,Kochi,"Eloor, Kochi",17,57
29,16/01/2015,Kerala,Kochi,"Eloor, Kochi",30,30
29,18/01/2015,Kerala,Kochi,"Eloor, Kochi",5,66
29,21/01/2015,Kerala,Kochi,"Eloor, Kochi",23,32
29,23/01/2015,Kerala,Kochi,"Eloor, Kochi",39,34
29,27/01/2015,Kerala,Kochi,"Eloor, Kochi",6,46
29,29/01/2015,Kerala,Kochi,"Eloor, Kochi",38,60
29,1/2/2015,Kerala,Kochi,"Eloor, Kochi",8,29
29,4/2/2015,Kerala,Kochi,"Eloor, Kochi",9,51
29,6/2/2015,Kerala,Kochi,"Eloor, Kochi",28,39
29,8/2/2015,Kerala,Kochi,"Eloor, Kochi",12,48
29,11/2/2015,Kerala,Kochi,"Eloor, Kochi",10,43
29,17/02/2015,Kerala,Kochi,"Eloor, Kochi",11,32
29,20/02/2015,Kerala,Kochi,"Eloor, Kochi",35,76
29,22/02/2015,Kerala,Kochi,"Eloor, Kochi",21,73
29,25/02/2015,Kerala,Kochi,"Eloor, Kochi",28,32
29,27/02/2015,Kerala,Kochi,"Eloor, Kochi",17,38
29,2/3/2015,Kerala,Kochi,"Eloor, Kochi",6,49
29,4/3/2015,Kerala,Kochi,"Eloor, Kochi",16,77
29,6/3/2015,Kerala,Kochi,"Eloor, Kochi",13,35
29,8/3/2015,Kerala,Kochi,"Eloor, Kochi",27,37
29,12/3/2015,Kerala,Kochi,"Eloor, Kochi",33,27
29,18/03/2015,Kerala,Kochi,"Eloor, Kochi",19,49
29,20/03/2015,Kerala,Kochi,"Eloor, Kochi",44,21
29,22/03/2015,Kerala,Kochi,"Eloor, Kochi",19,27
29,25/03/2015,Kerala,Kochi,"Eloor, Kochi",35,45
29,27/03/2015,Kerala,Kochi,"Eloor, Kochi",21,33
29,8/4/2015,Kerala,Kochi,"Eloor, Kochi",9,22
29,11/4/2015,Kerala,Kochi,"Eloor, Kochi",8,60
29,15/04/2015,Kerala,Kochi,"Eloor, Kochi",9,66
29,17/04/2015,Kerala,Kochi,"Eloor, Kochi",15,27
29,19/04/2015,Kerala,Kochi,"Eloor, Kochi",11,35
29,21/04/2015,Kerala,Kochi,"Eloor, Kochi",11,27
29,23/04/2015,Kerala,Kochi,"Eloor, Kochi",22,62
29,26/04/2015,Kerala,Kochi,"Eloor, Kochi",13,47
29,28/04/2015,Kerala,Kochi,"Eloor, Kochi",18,66
29,30/04/2015,Kerala,Kochi,"Eloor, Kochi",22,65
29,3/5/2015,Kerala,Kochi,"Eloor, Kochi",13,44
29,5/5/2015,Kerala,Kochi,"Eloor, Kochi",12,43
29,12/5/2015,Kerala,Kochi,"Eloor, Kochi",13,56
29,14/05/2015,Kerala,Kochi,"Eloor, Kochi",12,61
29,17/05/2015,Kerala,Kochi,"Eloor, Kochi",16,70
29,20/05/2015,Kerala,Kochi,"Eloor, Kochi",10,31
29,22/05/2015,Kerala,Kochi,"Eloor, Kochi",10,32
29,24/05/2015,Kerala,Kochi,"Eloor, Kochi",15,29
29,26/05/2015,Kerala,Kochi,"Eloor, Kochi",10,57
29,29/05/2015,Kerala,Kochi,"Eloor, Kochi",17,23
29,2/6/2015,Kerala,Kochi,"Eloor, Kochi",10,29
29,4/6/2015,Kerala,Kochi,"Eloor, Kochi",10,18
29,7/6/2015,Kerala,Kochi,"Eloor, Kochi",18,53
29,9/6/2015,Kerala,Kochi,"Eloor, Kochi",13,30
29,11/6/2015,Kerala,Kochi,"Eloor, Kochi",14,36
29,13/06/2015,Kerala,Kochi,"Eloor, Kochi",23,48
29,16/06/2015,Kerala,Kochi,"Eloor, Kochi",21,34
29,19/06/2015,Kerala,Kochi,"Eloor, Kochi",18,35
29,22/06/2015,Kerala,Kochi,"Eloor, Kochi",18,34
29,25/06/2015,Kerala,Kochi,"Eloor, Kochi",15,30
29,3/7/2015,Kerala,Kochi,"Eloor, Kochi",16,44
29,6/7/2015,Kerala,Kochi,"Eloor, Kochi",15,24
29,8/7/2015,Kerala,Kochi,"Eloor, Kochi",15,21
29,9/7/2015,Kerala,Kochi,"Eloor, Kochi",16,33
29,12/7/2015,Kerala,Kochi,"Eloor, Kochi",14,31
29,16/07/2015,Kerala,Kochi,"Eloor, Kochi",15,23
29,19/07/2015,Kerala,Kochi,"Eloor, Kochi",12,46
