STN_CODE,SAMPLING_DATE,STATE,CITYTOWNVILLAGEAREA,LOCATION_OF_MONITORING_STATION,SO2,NO2,RSPM/PM10,SPM
386,1/1/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",10,80.1,252,525
386,1/3/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",10.6,84.1,248,516
386,1/8/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.8,85.2,253.6666667,527
386,1/12/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.2,77.6,255.3333333,521
386,14/01/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.7,84.8,241.6666667,511
386,18/01/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.2,80.6,199.3333333,410
386,23/01/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.8,87.2,264.6666667,555
386,27/01/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9,82.8,230.3333333,477
386,30/01/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.7,85.6,201.6666667,432
386,2/2/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",10.1,83.5,246.6666667,511
386,2/4/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.2,81.1,179,378
386,2/10/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",10.1,83.6,314.3333333,659
386,2/12/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.2,80.2,188,421
386,14/02/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.5,76.3,148.6666667,333
386,20/02/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.2,79.6,231.6666667,489
386,22/02/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.7,81.6,255.6666667,547
386,24/02/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9,77.6,214,457
386,3/4/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.8,76,168.6666667,370
386,3/6/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.3,74.7,138.6666667,313
386,3/9/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.7,74.2,124,287
386,3/11/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.7,74.6,215.3333333,477
386,17/03/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.1,73.1,150,344
386,19/03/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",10,77.9,248,517
386,22/03/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.7,76.4,207.6666667,437
386,26/03/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.3,70.3,130,295
386,28/03/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.2,75.6,140,331
386,4/2/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.7,77.7,189,391
386,4/8/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.2,73.2,173.6666667,376
386,4/10/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.7,74.5,212.6666667,449
386,4/12/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.4,71.4,99.66666667,231
386,17/04/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",8.9,73,104.3333333,232
386,20/04/2010,West Bengal,Asansol,"Asansol Municipal Corporation, Asansol",9.7,76.3,165,353
